"gene_ID","description","organism","nomenclaturesymbol"
"XP_009302985.1","uncharacterized LOC103911649","Danio rerio",""
"XP_009300101.1","CD180 molecule","Danio rerio","cd180"
"NP_001032511.1","protein O-glucosyltransferase 1","Danio rerio","poglut1"
"NP_001157500.1","tudor domain containing 1","Danio rerio","tdrd1"
"NP_001070921.1","cytochrome P450, family 2, subfamily X, polypeptide 9","Danio rerio","cyp2x9"
"XP_013123152.1","uncharacterized LOC106097467","Oreochromis niloticus",""
"XP_012811557.1","uncharacterized LOC105946406","Xenopus tropicalis",""
"XP_009296233.1","engulfment and cell motility 3","Danio rerio","elmo3"
"NP_001002187.1","cytochrome P450, family 2, subfamily X, polypeptide 8","Danio rerio","cyp2x8"
"NP_998597.2","E2F transcription factor 4","Danio rerio","e2f4"
"XP_009305036.1","si:ch211-225b10.4","Danio rerio","ccdc186"
"XP_007252964.1","protocadherin-1","Astyanax mexicanus",""
"NP_571929.1","ephrin-A3b","Danio rerio","efna3b"
"NP_957077.2","ephrin-A1b","Danio rerio","efna1b"
"XP_003198011.3","microtubule cross-linking factor 1-like","Danio rerio",""
"XP_012725218.1","enhancer of polycomb homolog 1","Fundulus heteroclitus",""
"XP_007237189.1",NA,NA,NA
"XP_009302482.1","E1A binding protein p400","Danio rerio","ep400"
"XP_009302476.1","E1A binding protein p400","Danio rerio","ep400"
"NP_001296753.1","roundabout, axon guidance receptor, homolog 1 (Drosophila)","Danio rerio","robo1"
"NP_001004676.1","Ras association (RalGDS/AF-6) domain family member 2a","Danio rerio","rassf2a"
"NP_957120.1","pyrroline-5-carboxylate reductase 1a","Danio rerio","pycr1a"
"XP_009304632.1",NA,NA,NA
"XP_001345998.4","inturned planar cell polarity protein","Danio rerio","intu"
"XP_012697442.1","uncharacterized LOC105912973","Clupea harengus",""
"NP_998466.2","aldehyde dehydrogenase 2 family (mitochondrial), tandem duplicate 2","Danio rerio","aldh2.2"
"XP_003446212.1","aldehyde dehydrogenase 2 family (mitochondrial)","Oreochromis niloticus",""
"XP_008327912.1","zona pellucida sperm-binding protein 3-like","Cynoglossus semilaevis",""
"XP_007257333.1","microtubule-actin cross-linking factor 1-like","Astyanax mexicanus",""
"XP_695869.5","microtubule-actin crosslinking factor 1 b","Danio rerio","macf1b"
"NP_001028902.1","peptide deformylase (mitochondrial)","Danio rerio","pdf"
"XP_001342971.3",NA,NA,NA
"NP_001077045.1","protein tyrosine phosphatase, receptor type, f, b","Danio rerio","ptprfb"
"XP_006632083.1",NA,NA,NA
"XP_009290049.1",NA,NA,NA
"XP_005166412.1","si:cabz01030277.1","Danio rerio","si:cabz01030277.1"
"XP_001343728.4","coagulation factor IX-like","Danio rerio",""
"XP_009290579.1",NA,NA,NA
"XP_012681634.1","transcription factor binding to IGHM enhancer 3","Clupea harengus",""
"XP_005166762.1","transcription factor binding to IGHM enhancer 3a","Danio rerio","tfe3a"
"XP_688794.3",NA,NA,NA
"XP_007245937.1",NA,NA,NA
"NP_001073550.1","calcium release activated channel regulator 2B","Danio rerio","cracr2b"
"XP_009295993.1","calcium release activated channel regulator 2B","Danio rerio","cracr2b"
"XP_014028376.1","striated muscle preferentially expressed protein kinase-like","Salmo salar",""
"XP_009303170.1","SPEG complex locus b","Danio rerio","spegb"
"XP_009303172.1",NA,NA,NA
"XP_012681604.1","calsyntenin 1","Clupea harengus",""
"NP_571669.1","catenin, beta interacting protein 1","Danio rerio","ctnnbip1"
"XP_004070889.1","dishevelled segment polarity protein 1","Oryzias latipes",""
"XP_698367.7",NA,NA,NA
"XP_014001971.1","segment polarity protein dishevelled homolog DVL-1-like","Salmo salar",""
"XP_005162390.1","calmodulin binding transcription activator 1a","Danio rerio","camta1a"
"XP_006642070.1",NA,NA,NA
"XP_009295271.1","calmodulin binding transcription activator 1a","Danio rerio","camta1a"
"NP_998322.1","solute carrier family 25 (pyrimidine nucleotide carrier), member 33","Danio rerio","slc25a33"
"NP_001073429.2","matrix-remodelling associated 8b","Danio rerio","mxra8b"
"NP_008594.1","cytochrome c oxidase subunit III","Carassius auratus",""
"YP_009029950.1","cytochrome c oxidase subunit I","Grammistes sexlineatus",""
"YP_003457047.1","cytochrome c oxidase subunit II","Himantolophus albinares",""
"NP_001099165.1","aurora kinase A interacting protein 1","Danio rerio","aurkaip1"
"NP_001103936.1","transmembrane protein 201","Danio rerio","tmem201"
"XP_009295126.1","transmembrane protein 201","Danio rerio","tmem201"
"XP_009295267.1","tumor necrosis factor receptor superfamily, member 9a","Danio rerio","tnfrsf9a"
"XP_005162350.1","coiled-coil domain containing 187","Danio rerio","ccdc187"
"XP_005162348.1","coiled-coil domain containing 187","Danio rerio","ccdc187"
"XP_005162352.1","coiled-coil domain containing 187","Danio rerio","ccdc187"
"XP_013122056.1",NA,NA,NA
"NP_957493.1","phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit delta","Danio rerio","pik3cd"
"XP_009305147.1",NA,NA,NA
"XP_007971680.1","histone H2B type 1-B","Chlorocebus sabaeus",""
"XP_008260749.1",NA,NA,NA
"XP_014191196.1","histone H2A-like","Haplochromis burtoni",""
"XP_003703731.2","histone H3-like centromeric protein CSE4","Megachile rotundata",""
"XP_010897890.1","zinc finger protein 2 homolog","Esox lucius",""
"XP_002667005.3",NA,NA,NA
"XP_012732111.1","histone H2A-like","Fundulus heteroclitus",""
"XP_009305038.1",NA,NA,NA
"XP_010776391.1","uncharacterized LOC104951437","Notothenia coriiceps",""
"NP_998612.1","transmembrane protein 129, E3 ubiquitin protein ligase","Danio rerio","tmem129"
"XP_012684798.1","RNA-directed DNA polymerase from mobile element jockey-like","Clupea harengus",""
"XP_013123738.1","RNA-directed DNA polymerase from mobile element jockey-like","Oreochromis niloticus",""
"XP_001922856.1","si:ch211-262e15.1","Danio rerio","si:ch211-262e15.1"
"XP_014005415.1","bromodomain adjacent to zinc finger domain protein 2B-like","Salmo salar",""
"XP_009290290.1","HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1","Danio rerio","hace1"
"XP_009301111.1","uncharacterized LOC100331508","Danio rerio",""
"XP_009301099.1",NA,NA,NA
"XP_009301114.1","si:dkey-201l21.4","Danio rerio","si:dkey-201l21.4"
"XP_002662629.2","uncharacterized LOC100332081","Danio rerio",""
"XP_009301113.1","uncharacterized LOC100331508","Danio rerio",""
"XP_009301125.1","uncharacterized LOC100534786","Danio rerio",""
"XP_688767.7",NA,NA,NA
"XP_005168302.2",NA,NA,NA
"XP_002664923.4",NA,NA,NA
"XP_009293782.1","GTPase IMAP family member 8-like","Danio rerio",""
"XP_009301359.1","dedicator of cytokinesis 11","Danio rerio","dock11"
"XP_005169845.1","protein tyrosine phosphatase, non-receptor type 21","Danio rerio","ptpn21"
"XP_007257498.1","syntrophin gamma 2","Astyanax mexicanus",""
"XP_009301119.1",NA,NA,NA
"XP_695795.6","si:dkey-151g10.3","Danio rerio","si:dkey-151g10.3"
"XP_009302219.1",NA,NA,NA
"XP_009295203.1","si:dkey-151g10.3","Danio rerio","si:dkey-151g10.3"
"NP_001122291.1","uncharacterized LOC100149258","Danio rerio",""
"XP_009289557.1",NA,NA,NA
"NP_957094.1","family with sequence similarity 3, member A","Danio rerio","fam3a"
"NP_001230101.1","isocitrate dehydrogenase 3 (NAD+) gamma","Danio rerio","idh3g"
"XP_012580550.1","isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial-like","Condylura cristata",""
"NP_001019563.1","methionyl aminopeptidase type 1D (mitochondrial)","Danio rerio","metap1d"
"XP_012696072.1","methionyl aminopeptidase type 1D, mitochondrial","Clupea harengus",""
"XP_007249848.1","TNF receptor superfamily member 1A","Astyanax mexicanus",""
"XP_009296126.1",NA,NA,NA
"XP_010772973.1","uncharacterized LOC104948465","Notothenia coriiceps",""
"WP_041111000.1",NA,NA,NA
"XP_009294706.1","uncharacterized LOC103909623","Danio rerio",""
"XP_690770.2","protein phosphatase 2, regulatory subunit B', beta","Danio rerio","ppp2r5b"
"XP_013869627.1","uncharacterized LOC106521546","Austrofundulus limnaeus",""
"XP_009304641.1","wu:fj29h11","Danio rerio","wu:fj29h11"
"XP_014062789.1","serine/threonine-protein kinase D3-like","Salmo salar",""
"NP_001170925.1","zgc:175248","Danio rerio","zgc:175248"
"XP_009292835.1",NA,NA,NA
"NP_571296.2","ATPase, Na+/K+ transporting, beta 3a polypeptide","Danio rerio","atp1b3a"
"XP_005158083.2","zmp:0000000608","Danio rerio","zmp:0000000608"
"NP_001245155.1",NA,NA,NA
"XP_005157440.1",NA,NA,NA
"XP_007243232.1","calcium/calmodulin-dependent protein kinase kinase 2-like","Astyanax mexicanus",""
"XP_005168596.1","TBC1 domain family, member 22a","Danio rerio","tbc1d22a"
"XP_697956.4","chromodomain helicase DNA binding protein 7","Danio rerio","chd7"
"XP_002586172.1","hypothetical protein","Branchiostoma floridae",""
"NP_001003988.2","X-ray repair complementing defective repair in Chinese hamster cells 1","Danio rerio","xrcc1"
"XP_690098.5","si:ch211-196h16.5","Danio rerio","si:ch211-196h16.5"
"XP_012991195.1",NA,NA,NA
"XP_007235406.1","NACHT, LRR and PYD domains-containing protein 12-like","Astyanax mexicanus",""
"XP_009299266.1",NA,NA,NA
"XP_002665507.3",NA,NA,NA
"XP_009296671.1",NA,NA,NA
"XP_014049778.1","protein NLRC3-like","Salmo salar",""
"XP_013126256.1","uncharacterized LOC106098163","Oreochromis niloticus",""
"XP_012685402.1","uncharacterized LOC105902371","Clupea harengus",""
"XP_001923280.1",NA,NA,NA
"XP_707096.1","essential meiotic structure-specific endonuclease 1","Danio rerio","eme1"
"NP_840083.2","selenoprotein P, plasma, 1b","Danio rerio","sepp1b"
"XP_007235275.1","mitochondrial ribosomal protein L37","Astyanax mexicanus",""
"XP_013001673.1","single stranded DNA binding protein 3","Cavia porcellus",""
"XP_008283787.1","endothelial differentiation related factor 1","Stegastes partitus",""
"NP_001107947.1","family with sequence similarity 78, member Ab","Danio rerio","fam78ab"
"XP_003455009.1","uncharacterized LOC100692291","Oreochromis niloticus",""
"XP_005172102.1","proline-rich coiled-coil 2B","Danio rerio","prrc2b"
"XP_005172099.1","proline-rich coiled-coil 2B","Danio rerio","prrc2b"
"XP_008284890.1","kinase non-catalytic C-lobe domain containing 1","Stegastes partitus",""
"XP_009298117.1",NA,NA,NA
"XP_009298123.1",NA,NA,NA
"XP_005164325.1",NA,NA,NA
"XP_005164324.1",NA,NA,NA
"XP_009290428.1",NA,NA,NA
"NP_001272463.1","lysophosphatidic acid receptor 3","Danio rerio","lpar3"
"XP_689120.5","adhesion G protein-coupled receptor L3.1","Danio rerio","adgrl3.1"
"XP_005170997.1","adhesion G protein-coupled receptor L3.1","Danio rerio","adgrl3.1"
"XP_009292059.1",NA,NA,NA
"XP_009292077.1",NA,NA,NA
"XP_009292060.1",NA,NA,NA
"XP_007233450.1","transforming growth factor beta receptor 1","Astyanax mexicanus",""
"XP_007549232.1","TOG array regulator of axonemal microtubules 1","Poecilia formosa",""
"NP_001076472.1","LanC lantibiotic synthetase component C-like 2 (bacterial)","Danio rerio","lancl2"
"NP_001268297.1","TGF receptor-1 precursor","Oncorhynchus mykiss",""
"XP_007966792.1","transforming growth factor beta receptor 1","Chlorocebus sabaeus",""
"XP_010743319.1","uncharacterized LOC104930270","Larimichthys crocea",""
"XP_012679636.1","thioredoxin related transmembrane protein 3","Clupea harengus",""
"NP_001292489.1","zinc finger, FYVE domain containing 26","Danio rerio","zfyve26"
"XP_014067192.1","zinc finger FYVE domain-containing protein 26-like","Salmo salar",""
"NP_956670.1","fibroblast growth factor receptor-like 1a","Danio rerio","fgfrl1a"
"NP_956212.2","VAMP (vesicle-associated membrane protein)-associated protein A","Danio rerio","vapa"
"XP_007236049.1","VAMP associated protein A","Astyanax mexicanus",""
"NP_001002546.1","VAMP (vesicle-associated membrane protein)-associated protein A, like","Danio rerio","vapal"
"NP_956185.1","ecdysoneless homolog (Drosophila)","Danio rerio","ecd"
"XP_009291232.1",NA,NA,NA
"XP_005159080.1","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E","Danio rerio","sema3e"
"XP_005172258.1","echinoderm microtubule associated protein like 3","Danio rerio","eml3"
"XP_012688290.1","echinoderm microtubule associated protein like 3","Clupea harengus",""
"XP_700727.7",NA,NA,NA
"XP_009302596.1","si:ch73-199g24.2","Danio rerio","si:ch73-199g24.2"
"NP_001070804.1","protein interacting with prkca 1","Danio rerio","pick1"
"XP_009291293.1","ankyrin 3a","Danio rerio","ank3a"
"XP_009291292.1",NA,NA,NA
"XP_012724671.1","T-box 3","Fundulus heteroclitus",""
"XP_012724670.1","T-box 3","Fundulus heteroclitus",""
"YP_009166197.1","cytochrome c oxidase subunit III","Schizothorax nukiangensis",""
"XP_009291704.1",NA,NA,NA
"XP_005158939.1","transmembrane protein 63C","Danio rerio","tmem63c"
"NP_001103993.1","glycerophosphocholine phosphodiesterase 1","Danio rerio","gpcpd1"
"XP_005160930.1","chromogranin B","Danio rerio","chgb"
"XP_007229761.1","tRNA methyltransferase 6","Astyanax mexicanus",""
"XP_002665831.3","fermitin family member 1","Danio rerio","fermt1"
"XP_009293238.1","glycerophosphocholine phosphodiesterase 1","Danio rerio","gpcpd1"
"XP_682831.3","trimethyllysine hydroxylase, epsilon","Danio rerio","tmlhe"
"XP_009300012.1",NA,NA,NA
"XP_001345491.5","uncharacterized LOC100006875","Danio rerio",""
"XP_009294329.1","novel protein similar to vertebrate amiloride-sensitive cation channel 2 neuronal (ACCN2)","Danio rerio",""
"XP_002666222.2","wu:fi37e09","Danio rerio","wu:fi37e09"
"XP_001345427.5","uncharacterized LOC100006764","Danio rerio",""
"XP_005161728.1","uncharacterized LOC101883411","Danio rerio",""
"XP_005161706.2","uncharacterized LOC101884151","Danio rerio",""
"XP_009294318.1",NA,NA,NA
"XP_009305075.1","si:ch211-277e21.2","Danio rerio","si:ch211-277e21.2"
"XP_005806789.1","ankyrin repeat and fibronectin type III domain containing 1","Xiphophorus maculatus",""
"XP_010903546.1","uncharacterized LOC105031047","Esox lucius",""
"NP_001007168.1","si:busm1-266f07.1","Danio rerio","si:busm1-266f07.1"
"XP_003459301.2","H-2 class II histocompatibility antigen, E-S beta chain","Oreochromis niloticus",""
"NP_001007207.2","si:busm1-194e12.12","Danio rerio","si:busm1-194e12.12"
"NP_001005943.2","zgc:103700","Danio rerio","zgc:103700"
"XP_005167290.2","si:zfos-367g9.1","Danio rerio","si:zfos-367g9.1"
"XP_005160972.1","BUB1 mitotic checkpoint serine/threonine kinase Ba","Danio rerio","bub1ba"
"XP_012671571.1","Rho GTPase activating protein 28","Clupea harengus",""
"XP_003197949.2",NA,NA,NA
"XP_009305956.1",NA,NA,NA
"XP_009305957.1","uncharacterized LOC100331369","Danio rerio",""
"XP_012681285.1","uncharacterized LOC105898767","Clupea harengus",""
"XP_012635386.1","dynein axonemal light intermediate chain 1","Microcebus murinus",""
"NP_001103584.2","dynein, axonemal, light intermediate chain 1","Danio rerio","dnali1"
"NP_998389.1","guanine nucleotide binding protein-like 2 (nucleolar)","Danio rerio","gnl2"
"XP_005164285.1","ubiquitin specific peptidase 31","Danio rerio","usp31"
"XP_002665057.3","PHD finger protein 1","Danio rerio","phf1"
"XP_005156176.1","uncharacterized LOC101885994","Danio rerio",""
"XP_009290124.1",NA,NA,NA
"XP_002660968.3","si:ch73-173p19.1","Danio rerio","si:ch73-173p19.1"
"XP_002661027.3","neurocan a","Danio rerio","ncana"
"XP_013995569.1","uncharacterized LOC106569109","Salmo salar",""
"NP_001244044.1","complement factor B","Ictalurus punctatus",""
"XP_013123118.1","RNA-directed DNA polymerase from mobile element jockey-like","Oreochromis niloticus",""
"XP_006627445.1",NA,NA,NA
"NP_001096097.1","C-reactive protein 7","Danio rerio","crp7"
"XP_005162933.1",NA,NA,NA
"XP_005157805.1","nuclear receptor interacting protein 1a","Danio rerio","nrip1a"
"NP_956240.1","male germ cell-associated kinase","Danio rerio","mak"
"XP_013994246.1","endoplasmic reticulum metallopeptidase 1-like","Salmo salar",""
"XP_013854996.1","uncharacterized LOC106510817","Austrofundulus limnaeus",""
"XP_011487277.1","transient receptor potential cation channel subfamily C member 1","Oryzias latipes",""
"XP_007549678.1",NA,NA,NA
"XP_689011.4","si:ch211-119e14.9","Danio rerio","si:ch211-119e14.9"
"XP_007260857.1",NA,NA,NA
"XP_007260856.1","tripartite motif containing 36","Astyanax mexicanus",""
"XP_009305163.1",NA,NA,NA
"XP_005159617.1","low density lipoprotein receptor-related protein 12","Danio rerio","lrp12"
"NP_956389.1","asparagine synthetase domain containing 1","Danio rerio","asnsd1"
"NP_571144.2","connexin 43.4","Danio rerio","cx43.4"
"XP_009303235.1",NA,NA,NA
"XP_014028470.1","lactase","Salmo salar",""
"NP_001091734.1","junctional adhesion molecule 2a","Danio rerio","jam2a"
"XP_014005666.1","junctional adhesion molecule B-like","Salmo salar",""
"NP_001025316.1","URI1, prefoldin-like chaperone","Danio rerio","uri1"
"XP_014268043.1","uncharacterized LOC105940539","Maylandia zebra",""
"XP_007238197.1","polo like kinase 1","Astyanax mexicanus",""
"XP_005168410.1",NA,NA,NA
"NP_955816.1","Rho family GTPase 3a","Danio rerio","rnd3a"
"XP_005158646.1","structural maintenance of chromosomes 6","Danio rerio","smc6"
"XP_001337776.3","structural maintenance of chromosomes 6","Danio rerio","smc6"
"XP_014005282.1","receptor-type tyrosine-protein phosphatase S-like","Salmo salar",""
"NP_998218.2","cleavage stimulation factor, 3' pre-RNA, subunit 3","Danio rerio","cstf3"
"XP_013983240.1","cleavage stimulation factor subunit 3-like","Salmo salar",""
"XP_006718217.1",NA,NA,NA
"XP_012993074.1",NA,NA,NA
"XP_005172552.1","si:ch1073-392o20.1","Danio rerio","si:ch1073-392o20.1"
"NP_001116100.1","si:ch73-142c19.1","Danio rerio","si:ch73-142c19.1"
"NP_001007421.1","N-acetylneuraminic acid synthase b","Danio rerio","nansb"
"XP_014066002.1","protein FAM179B-like","Salmo salar",""
"XP_014066003.1","protein FAM179B-like","Salmo salar",""
"XP_011492186.1","putative nuclease HARBI1","Oryzias latipes",""
"XP_005173827.1","connective tissue growth factor b","Danio rerio","ctgfb"
"NP_705951.1","T-box 18","Danio rerio","tbx18"
"XP_009292404.1","erythrocyte membrane protein band 4.1a","Danio rerio","epb41a"
"NP_001020729.1","zgc:101731","Danio rerio","zgc:101731"
"XP_005157788.1","zgc:101731","Danio rerio","zgc:101731"
"XP_008299925.1","synaptosomal-associated protein 25-like","Stegastes partitus",""
"YP_002149696.1","ATP synthase F0 subunit 6","Pseudopungtungia nigra",""
"NP_571506.1","fatty acid binding protein 2, intestinal","Danio rerio","fabp2"
"YP_001936256.1","cytochrome c oxidase subunit III","Carassius cuvieri",""
"YP_004123494.1","COX1","Gobiobotia macrocephala",""
"XP_013997658.1","uncharacterized LOC106570150","Salmo salar",""
"XP_005171014.1","ubiquitin specific peptidase 53b","Danio rerio","usp53b"
"XP_009290009.1","uncharacterized LOC103908834","Danio rerio",""
"NP_571881.1","ephrin-B3b","Danio rerio","efnb3b"
